snapshot_month,snapshot_date,data_frozen_flag,total_claim_count,auto_payment_candidate_count,auto_payment_count,exclusion_count,manual_review_count,auto_payment_rate,prev_month_auto_payment_rate,auto_payment_rate_change,processing_efficiency,prev_month_processing_efficiency,processing_efficiency_change,stable_flag,status_label,segment_change_summary,report_generated_flag,report_sent_flag,report_archive_id,generated_at,updated_at
2025-01,2025-01-31,N,1099,945,632,126,341,57.51,,,51.54,,,N,미확정,통원 소액 비중 확대,N,N,,2025-01-31T08:00:00Z,2025-01-31T08:30:00Z
2025-02,2025-02-28,Y,1203,1036,698,137,368,58.02,57.51,0.51,51.62,51.54,0.08,Y,안정,입원 제증명 단순건 증가,Y,Y,RPT-202502,2025-02-28T08:00:00Z,2025-02-28T08:30:00Z
2025-03,2025-03-31,Y,1273,1097,746,144,383,58.6,58.02,0.58,51.82,51.62,0.2,Y,안정,비급여 비중 소폭 상승,Y,Y,RPT-202503,2025-03-31T08:00:00Z,2025-03-31T08:30:00Z
2025-04,2025-04-30,Y,1295,1118,766,145,384,59.15,58.6,0.55,52.05,51.82,0.23,Y,안정,자동지급률 안정 유지,Y,Y,RPT-202504,2025-04-30T08:00:00Z,2025-04-30T08:30:00Z
2025-05,2025-05-31,Y,1348,1165,805,150,393,59.72,59.15,0.57,52.17,52.05,0.12,Y,안정,제외유형 건수 축소,Y,Y,RPT-202505,2025-05-31T08:00:00Z,2025-05-31T08:30:00Z
2025-06,2025-06-30,Y,1400,1211,843,154,403,60.21,59.72,0.49,52.52,52.17,0.35,Y,안정,segment 경계 유지,Y,Y,RPT-202506,2025-06-30T08:00:00Z,2025-06-30T08:30:00Z
2025-07,2025-07-31,Y,1406,1218,855,153,398,60.81,60.21,0.6,52.61,52.52,0.09,Y,안정,급여전용건 증가,Y,Y,RPT-202507,2025-07-31T08:00:00Z,2025-07-31T08:30:00Z
2025-08,2025-08-31,Y,1456,1262,893,157,406,61.33,60.81,0.52,52.87,52.61,0.26,Y,안정,실손24 소액 유입 증가,Y,Y,RPT-202508,2025-08-31T08:00:00Z,2025-08-31T08:30:00Z
2025-09,2025-09-30,Y,1567,1360,970,168,429,61.9,61.33,0.57,52.9,52.87,0.03,Y,안정,경증 단일진단 비중 확대,Y,Y,RPT-202509,2025-09-30T08:00:00Z,2025-09-30T08:30:00Z
2025-10,2025-10-31,Y,1537,1336,960,163,414,62.46,61.9,0.56,53.17,52.9,0.27,Y,안정,종합병원 입원 저비급여 증가,Y,Y,RPT-202510,2025-10-31T08:00:00Z,2025-10-31T08:30:00Z
2025-11,2025-11-30,Y,1661,1445,1046,174,441,62.97,62.46,0.51,53.25,53.17,0.08,Y,안정,인심사주의 세그먼트 소폭 감소,Y,Y,RPT-202511,2025-11-30T08:00:00Z,2025-11-30T08:30:00Z
2025-12,2025-12-31,Y,1742,1517,1107,181,454,63.55,62.97,0.58,53.42,53.25,0.17,Y,안정,연말 청구 집중 완만 증가,Y,Y,RPT-202512,2025-12-31T08:00:00Z,2025-12-31T08:30:00Z
